Band,Metric,Lobe,Comparison,N_pairs,Pre (mean +/- SD),Ictal (mean +/- SD),Post (mean +/- SD),Cohens_d,p_value,p_corr
Gamma,F,FL,Pre vs Ictal,62,1.677 +/- 0.457,1.603 +/- 0.416,1.622 +/- 0.921,0.147,0.252,1.000
Gamma,F,FL,Ictal vs Post,62,1.677 +/- 0.457,1.603 +/- 0.416,1.622 +/- 0.921,-0.021,0.872,1.000
Gamma,F,FL,Pre vs Post,62,1.677 +/- 0.457,1.603 +/- 0.416,1.622 +/- 0.921,0.063,0.619,1.000
Gamma,F,INS,Pre vs Ictal,58,1.677 +/- 0.569,1.725 +/- 0.543,2.530 +/- 1.633,-0.065,0.624,1.000
Gamma,F,INS,Ictal vs Post,58,1.677 +/- 0.569,1.725 +/- 0.543,2.530 +/- 1.633,-0.545,<0.001,0.002
Gamma,F,INS,Pre vs Post,58,1.677 +/- 0.569,1.725 +/- 0.543,2.530 +/- 1.633,-0.557,<0.001,0.001
Gamma,F,MTL,Pre vs Ictal,70,1.195 +/- 0.750,2.002 +/- 1.211,2.021 +/- 1.737,-0.697,<0.001,<0.001
Gamma,F,MTL,Ictal vs Post,70,1.195 +/- 0.750,2.002 +/- 1.211,2.021 +/- 1.737,-0.012,0.923,1.000
Gamma,F,MTL,Pre vs Post,70,1.195 +/- 0.750,2.002 +/- 1.211,2.021 +/- 1.737,-0.440,<0.001,0.007
Gamma,F,LTL,Pre vs Ictal,70,2.000 +/- 0.792,1.993 +/- 0.656,2.602 +/- 1.171,0.008,0.945,1.000
Gamma,F,LTL,Ictal vs Post,70,2.000 +/- 0.792,1.993 +/- 0.656,2.602 +/- 1.171,-0.582,<0.001,<0.001
Gamma,F,LTL,Pre vs Post,70,2.000 +/- 0.792,1.993 +/- 0.656,2.602 +/- 1.171,-0.520,<0.001,<0.001
Gamma,F,PL,Pre vs Ictal,39,1.466 +/- 0.748,1.464 +/- 0.798,1.338 +/- 0.879,0.002,0.989,1.000
Gamma,F,PL,Ictal vs Post,39,1.466 +/- 0.748,1.464 +/- 0.798,1.338 +/- 0.879,0.167,0.304,1.000
Gamma,F,PL,Pre vs Post,39,1.466 +/- 0.748,1.464 +/- 0.798,1.338 +/- 0.879,0.130,0.422,1.000
Gamma,D,FL,Pre vs Ictal,62,0.973 +/- 0.433,0.960 +/- 0.324,0.998 +/- 0.664,0.028,0.825,1.000
Gamma,D,FL,Ictal vs Post,62,0.973 +/- 0.433,0.960 +/- 0.324,0.998 +/- 0.664,-0.052,0.684,1.000
Gamma,D,FL,Pre vs Post,62,0.973 +/- 0.433,0.960 +/- 0.324,0.998 +/- 0.664,-0.032,0.802,1.000
Gamma,D,INS,Pre vs Ictal,58,1.045 +/- 0.540,1.107 +/- 0.534,1.747 +/- 1.421,-0.090,0.497,1.000
Gamma,D,INS,Ictal vs Post,58,1.045 +/- 0.540,1.107 +/- 0.534,1.747 +/- 1.421,-0.461,<0.001,0.013
Gamma,D,INS,Pre vs Post,58,1.045 +/- 0.540,1.107 +/- 0.534,1.747 +/- 1.421,-0.488,<0.001,0.007
Gamma,D,MTL,Pre vs Ictal,70,0.818 +/- 0.618,1.082 +/- 0.721,1.446 +/- 1.593,-0.334,0.007,0.101
Gamma,D,MTL,Ictal vs Post,70,0.818 +/- 0.618,1.082 +/- 0.721,1.446 +/- 1.593,-0.239,0.050,0.748
Gamma,D,MTL,Pre vs Post,70,0.818 +/- 0.618,1.082 +/- 0.721,1.446 +/- 1.593,-0.372,0.003,0.041
